model,layer,feature_ind,importance
InceptionV1,mixed5a,442,3
InceptionV1,mixed5a,443,-4
InceptionV1,mixed5a,444,-7
InceptionV1,mixed5a,445,4
InceptionV1,mixed5a,446,12
InceptionV1,mixed5a,447,13
InceptionV1,mixed5a,448,9
InceptionV1,mixed5a,449,2
InceptionV1,mixed5a,450,21
InceptionV1,mixed5a,451,1
InceptionV1,mixed5a,452,6
InceptionV1,mixed5a,453,5
InceptionV1,mixed5a,454,-12
InceptionV1,mixed5a,455,8
InceptionV1,mixed5a,456,10
InceptionV1,mixed5a,457,21
InceptionV1,mixed5a,458,0
InceptionV1,mixed5a,459,12
InceptionV1,mixed5a,460,1
InceptionV1,mixed5a,461,21
InceptionV1,mixed5a,462,23
InceptionV1,mixed5a,463,10
InceptionV1,mixed5a,464,20
InceptionV1,mixed5a,465,28
InceptionV1,mixed5a,466,2
InceptionV1,mixed5a,467,9
InceptionV1,mixed5a,468,9
InceptionV1,mixed5a,469,10
InceptionV1,mixed5a,470,-10
InceptionV1,mixed5a,471,0
InceptionV1,mixed5a,472,14
InceptionV1,mixed5a,473,-20
InceptionV1,mixed5a,474,24
InceptionV1,mixed5a,475,23
InceptionV1,mixed5a,476,7
InceptionV1,mixed5a,477,6
InceptionV1,mixed5a,478,-13
InceptionV1,mixed5a,479,28
InceptionV1,mixed5a,480,43
InceptionV1,mixed5a,481,18
InceptionV1,mixed5a,482,43
InceptionV1,mixed5a,483,-9
InceptionV1,mixed5a,484,11
InceptionV1,mixed5a,485,12
InceptionV1,mixed5a,486,11
InceptionV1,mixed5a,487,17
InceptionV1,mixed5a,488,22
InceptionV1,mixed5a,489,-7
InceptionV1,mixed5a,490,19
InceptionV1,mixed5a,491,0
InceptionV1,mixed5a,492,-10
InceptionV1,mixed5a,493,3
InceptionV1,mixed5a,494,23
InceptionV1,mixed5a,495,8
InceptionV1,mixed5a,496,28
InceptionV1,mixed5a,497,-2
InceptionV1,mixed5a,498,17
InceptionV1,mixed5a,499,-1
InceptionV1,mixed5a,500,-7
InceptionV1,mixed5a,501,3
InceptionV1,mixed5a,502,16
InceptionV1,mixed5a,503,10
InceptionV1,mixed5a,504,2
InceptionV1,mixed5a,505,5
InceptionV1,mixed5a,506,16
InceptionV1,mixed5a,507,-10
InceptionV1,mixed5a,508,39
InceptionV1,mixed5a,509,38
InceptionV1,mixed5a,510,-17
InceptionV1,mixed5a,511,-9
InceptionV1,mixed5a,512,25
InceptionV1,mixed5a,513,-12
InceptionV1,mixed5a,514,1
